Jurisdiction,DateDT,AllocatedCNT,RequestedCNT,ShippedCNT,FilledPCT
Alabama,2022-08-17,5923,1283,1283,1
Alaska,2022-08-17,600,340,340,1
All Jurisdictions,2022-08-17,1069859,634213,634213,1
American Samoa,2022-08-17,20,20,20,1
Arizona,2022-08-17,14315,7933,7933,1
Arkansas,2022-08-17,3024,1760,1760,1
California,2022-08-17,107149,66309,66309,1
California - Los Angeles,2022-08-17,71102,43222,43222,1
Colorado,2022-08-17,18525,11285,11285,1
Connecticut,2022-08-17,6298,3628,3628,1
Delaware,2022-08-17,1853,995,995,1
District of Columbia,2022-08-17,33275,21755,21755,1
Florida,2022-08-17,109284,65960,65960,1
Georgia,2022-08-17,47996,27542,27542,1
Guam,2022-08-17,64,60,60,1
Hawaii,2022-08-17,4245,2872,2872,1
Idaho,2022-08-17,1800,1000,1000,1
Illinois,2022-08-17,20512,12718,12718,1
Illinois - Chicago,2022-08-17,51869,34109,34109,1
Indiana,2022-08-17,11985,6752,6752,1
Iowa,2022-08-17,2569,1441,1441,1
Kansas,2022-08-17,2194,1176,1176,1
Kentucky,2022-08-17,6310,3580,3580,1
Louisiana,2022-08-17,9222,4962,4962,1
Maine,2022-08-17,1371,751,751,1
Mariana Islands,2022-08-17,40,40,40,1
Maryland,2022-08-17,21805,12679,12679,1
Massachusetts,2022-08-17,26271,16251,16251,1
Michigan,2022-08-17,13858,7618,7618,1
Minnesota,2022-08-17,10358,6038,6038,1
Mississippi,2022-08-17,2911,1541,1541,1
Missouri,2022-08-17,9367,5213,5213,1
Montana,2022-08-17,750,398,398,1
Nebraska,2022-08-17,1651,921,921,1
Nevada,2022-08-17,7299,4122,4122,1
New Hampshire,2022-08-17,1467,787,787,1
New Jersey,2022-08-17,19969,11329,11329,1
New Mexico,2022-08-17,3556,1996,1996,1
New York,2022-08-17,46026,28295,28295,1
New York - New York City,2022-08-17,124644,77804,77804,1
North Carolina,2022-08-17,18388,10148,10148,1
North Dakota,2022-08-17,515,275,275,1
Ohio,2022-08-17,17809,9693,9693,1
Oklahoma,2022-08-17,5555,736,736,1
Oregon,2022-08-17,11908,6838,6838,1
Pennsylvania,2022-08-17,17839,10311,10311,1
Pennsylvania - Philadelphia,2022-08-17,8390,4790,4790,1
Puerto Rico,2022-08-17,5067,2807,2807,1
Rhode Island,2022-08-17,3174,1874,1874,1
South Carolina,2022-08-17,6733,3647,3647,1
South Dakota,2022-08-17,511,291,291,1
Tennessee,2022-08-17,10740,5762,5762,1
Texas,2022-08-17,57280,32356,32356,1
Texas - Houston,2022-08-17,22104,12064,12064,1
Tribal entities,2022-08-17,173,0,0,
U.S. Virgin Islands,2022-08-17,108,160,160,1
Utah,2022-08-17,6369,3949,3949,1
Vermont,2022-08-17,426,226,226,1
Virginia,2022-08-17,22653,13459,13459,1
Washington,2022-08-17,24446,13810,13810,1
West Virginia,2022-08-17,1907,1057,1057,1
Wisconsin,2022-08-17,5986,3314,3314,1
Wyoming,2022-08-17,301,161,161,1
Alabama,2022-08-18,5943,1283,1283,1
Alaska,2022-08-18,640,640,640,1
All Jurisdictions,2022-08-18,1082486,1035213,958413,0.925812369048689
American Samoa,2022-08-18,20,20,20,1
Arizona,2022-08-18,14453,14533,14533,1
Arkansas,2022-08-18,3160,1760,1760,1
California,2022-08-18,109809,109909,109909,1
California - Los Angeles,2022-08-18,72142,72122,72122,1
Colorado,2022-08-18,18885,18885,18885,1
Connecticut,2022-08-18,6328,6328,6328,1
Delaware,2022-08-18,1895,1895,1895,1
District of Columbia,2022-08-18,33775,33855,21755,0.642593413085216
